"","date","revenue","fb_paid_total_impressions","fb_paid_spend","google_paid_total_impressions","google_paid_spend","pinterest_paid_total_impressions","pinterest_paid_spend","mountain_paid_total_impressions","mountain_paid_spend","fb_organic_total_impressions","instagram_organic_total_impressions","google_organic_total_impressions"
"236",2022-09-21,14979.12,16686,397.48,57796,1270.62,9191,100,0,0,96174,115398,3099
"237",2022-09-22,4996.46,22086,451.37,61359,1053.75,8657,98.23,0,0,95817,134221,2918
"238",2022-09-23,6215.87,29790,603.86,51327,893.86,8445,98.75,0,0,117160,140165,2883
"239",2022-09-24,6841.24,32669,645.71,57005,1016.22,10042,99.89,0,0,123219,163857,2928
"240",2022-09-25,3874.88,35913,658.67,67129,1038.84,10479,100,0,0,131634,179255,2629
"241",2022-09-26,7091.7,32753,629.51,55592,1078.58,13872,130,0,0,149393,145340,2883
"242",2022-09-27,10714.35,36011,636.87,49668,867.31,12194,130,0,0,123688,121711,2658
"243",2022-09-28,6823.03,33141,626.12,45879,995.16,10344,130,0,0,101794,113573,2564
"244",2022-09-29,7395.46,22483,536.29,43751,1076.87,10157,129.08,0,0,90954,62608,2653
"245",2022-09-30,14609.46,32966,708.07,44336,705.37,12113,127.99,0,0,50146,60638,2855
"246",2022-10-01,5055.97,39119,721.41,49821,865.39,13227,129.96,0,0,55203,63457,3512
"247",2022-10-02,10139.43,39621,755.63,61414,982.84,13091,124.66,0,0,64399,73649,3575
"248",2022-10-03,4298.92,35699,668.23,53501,824.2,12010,129.55,0,0,65962,59982,3402
"249",2022-10-04,12164.5,23663,486.99,55112,1007.96,3057,35.02,0,0,60679,60649,3132
"250",2022-10-05,24059.27,18422,484.36,48136,986.22,2930,35,0,0,48431,51400,3155
"251",2022-10-06,13087.61,21012,467.5,38725,955.65,2,0.01,0,0,41201,45784,2854
"252",2022-10-07,8129.05,25942,514.1,44925,901.56,0,0,0,0,43106,100225,3104
"253",2022-10-08,5029.52,30655,543.17,50518,949.07,0,0,0,0,52240,78613,3150
"254",2022-10-09,5044.1,25840,506.73,51544,994.95,0,0,0,0,60216,53737,3327
"255",2022-10-10,14258.08,30379,579.23,52912,1075.55,0,0,0,0,51109,54424,3255
"256",2022-10-11,6970.84,26383,530.09,59578,1319.8,0,0,0,0,51124,44131,3294
"257",2022-10-12,7718.61,26230,509.13,57562,1050.32,0,0,0,0,42262,41264,2949
"258",2022-10-13,10602.11,22649,464.21,63950,1072.61,0,0,0,0,42442,41387,3062
"259",2022-10-14,4435.49,23361,519.95,56623,1022.51,0,0,0,0,40823,52920,2938
"260",2022-10-15,4835.57,25561,531.03,53991,766.43,0,0,0,0,39089,43532,2788
"261",2022-10-16,10624.03,34729,698.39,61073,890.29,0,0,0,0,45117,49148,3062
"262",2022-10-17,12194.45,26594,608.74,63734,1174.21,0,0,0,0,50902,59625,2947
"263",2022-10-18,8665.33,28090,650.07,59773,900.51,0,0,0,0,43411,55240,2727
"264",2022-10-19,2647.04,24549,524.07,59995,1012.43,0,0,0,0,47051,50612,2720
"265",2022-10-20,10983.45,25268,515.48,49808,946.51,0,0,0,0,24068,56567,2837
"266",2022-10-21,11917.24,20337,446.83,48217,861.33,0,0,0,0,6752,54354,2742
"267",2022-10-22,5493.42,22736,455.08,47196,750.31,0,0,0,0,5865,57776,2816
"268",2022-10-23,10791.45,37292,832.33,64049,912.35,0,0,0,0,6198,71437,2797
"269",2022-10-24,9949.04,29767,578.88,69670,1156.37,0,0,0,0,9026,60053,3113
"270",2022-10-25,4149.59,30509,507.7,63825,863.2,0,0,0,0,8330,59278,3192
"271",2022-10-26,6131.13,20343,402.44,54910,1325.9,0,0,0,0,7564,50339,3254
"272",2022-10-27,7442.86,20136,377.39,51002,1033.89,0,0,0,0,8179,49862,2854
"273",2022-10-28,18244.53,21601,372.2,45395,729.76,0,0,0,0,8205,49293,2971
"274",2022-10-29,5126.4,30802,494.21,43493,779.19,0,0,0,0,9745,63502,2786
"275",2022-10-30,4209.27,35398,506.97,49422,733.03,0,0,0,0,7877,76155,2916
"276",2022-10-31,12683.22,56309,925.75,41299,655.41,0,0,0,0,9272,80169,2685
"277",2022-11-01,7462.91,49185,944.13,45545,847.13,0,0,0,0,26243,78726,3479
"278",2022-11-02,7616.69,45158,909.47,50042,1057.17,0,0,0,0,25680,83711,3517
"279",2022-11-03,7650.98,43375,883.03,54727,1092.5,0,0,0,0,32129,87175,3292
"280",2022-11-04,6437.9,43377,892.12,64839,1059.63,0,0,0,0,35701,85432,3219
"281",2022-11-05,6613.44,46831,917.78,74266,1185.65,0,0,0,0,37348,107674,3459
