"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"31",1.1509425,0.7482877,0.2091006,1.57646,0.6223367,0.1370202,0.83658,0.5460668,0.1196274,2.1621925,0.5667945,0.1585638,1.79596,0.6446261,0.2727159,0.6377597,0.0999774625820968,-0.237693674047307,-0.759797705052699,0.15718638211579,2.63454775897565,2.37577776884864,2.63454775897565,0.111550044605416,0,525632.493693915,0.365662,1437232.53871745,1e-04,1,0.104997873306274,9.44619274139404,"1_74_1",1,74,1,74,TRUE,TRUE,7,0.292994099949293,2,FALSE
"32",1.36975,0.7961446,0.2118501,1.4831775,0.36907124,0.191211,0.8069675,0.629105,0.02968833,2.003175,0.4821029,0.1733403,1.5354225,0.5543674,0.2470008,0.6536543,0.0922850759779015,-0.0984719873797653,-0.787832831470886,0.158301906929474,2.53146193617354,2.36537255941413,2.53146193617354,0.102680539051004,0,571044.500262564,0.397262,1437232.53871745,1e-04,1,0.375773429870605,9.83828997612,"1_75_1",1,75,1,75,FALSE,TRUE,4,0.289221114675842,2,FALSE
"33",2.7411125,0.6150357,1.087098e-05,1.745475,0.9566378,0.00589071,1.2229425,0.5583714,0.198834,1.343105,0.6672592,0.1742358,2.6855525,0.6562545,0.1584069,0.7282664,0.0650807676139733,-0.0735866870950102,-0.935575946925796,0.16909205736421,1.74949454945192,2.34751346776424,1.74949454945192,0.116745114045387,0,847689.845594564,0.589766,1437232.53871745,1e-04,1,0.113695859909058,10.089103937149,"1_77_1",1,77,1,77,FALSE,TRUE,2,0.28476002320136,2,FALSE
"34",1.336655,0.7652081,0.2082858,1.5562775,0.3817117,0.1624797,0.9733125,0.6066721,0.1126854,2.617285,0.6182347,0.1273317,2.150535,0.6339049,0.085683,0.672068,0.0915727514099616,0.0218428761489231,-0.85700387122033,0.160140435645198,2.34723207965193,2.38860339977535,2.34723207965193,0.130421202107145,0,598718.519581946,0.416519,1437232.53871745,1e-04,1,0.104629039764404,10.3382949829102,"1_79_1",1,79,1,79,FALSE,TRUE,6,0.29845187620336,2,FALSE
"35",2.014025,0.4967105,0.1644939,1.7310575,0.9329729,0.01776249,1.18323,0.5280831,0.2679012,1.3593875,0.6652992,0.2308209,2.642075,0.5689932,0.1144236,0.6587852,0.0656683345842007,-0.0904793774375239,-0.890246403441761,0.160699693463405,2.51972245722083,2.42662321718746,2.51972245722083,0.109745688549125,0,775233.264607706,0.539347,1437232.53871745,1e-04,1,0.104126691818237,10.5872731208801,"1_81_1",1,81,1,81,FALSE,TRUE,4,0.308413417398696,2,FALSE
"36",1.985735,0.69725,0.117294,1.6798425,0.6294536,0.1014231,1.0658025,0.5983407,0.1745091,1.501595,0.6231389,0.1862109,2.29804,0.5996903,0.2198265,0.7195406,0.0675548182323982,0.0307091962693554,-0.911079477879743,0.167310385477606,1.9014399402946,2.33670430146624,1.9014399402946,0.120600423031699,0,830427.534743216,0.577754,1437232.53871745,1e-04,1,0.105792045593262,10.708976984024,"1_82_1",1,82,1,82,FALSE,TRUE,3,0.281785287581714,2,FALSE
"37",1.49399,0.5608424,0.1283244,2.2192425,0.3843997,0.1491846,0.8783775,0.5933343,0.1187088,2.582585,0.622546,0.127836,2.150865,0.6940482,0.2386137,0.6702821,0.132917642503129,0.0575169145210067,-0.728379877041734,0.156273356731789,2.29658047621341,2.31155280981791,2.29658047621341,0.0937145642436158,0,406917.460826099,0.283054,1437232.53871745,1e-04,1,0.111752986907959,10.8368256092072,"1_83_1",1,83,1,83,FALSE,TRUE,2,0.272217407842539,1,FALSE
"38",1.2369,0.769399,0.1929408,1.50288,0.4427713,0.1583214,0.9422,0.5160718,0.2167476,2.369585,0.8449444,0.01321935,2.8786325,0.9342693,0.1618521,0.6434861,0.089101946638139,-0.182434204192737,-0.800369324949202,0.158908191388481,2.57940351747294,2.39409250435727,2.57940351747294,0.0637967414315756,0,565231.476004014,0.393217,1437232.53871745,1e-04,1,0.103329420089722,10.9557240009308,"1_84_1",1,84,1,84,TRUE,TRUE,2,0.296574888861008,2,FALSE
"39",1.3389225,0.8372143,0.2284212,1.94224,0.5041872,0.1627776,0.589115,0.4039507,0.1431276,2.7950375,0.5867046,0.1121373,2.7968875,0.9880027,0.2141502,0.6867581,0.0729034631691616,0.0528881811184209,-0.899644272025419,0.163962008934892,2.1888798546616,2.39733608576723,2.1888798546616,0.168210646562351,0,727776.280654653,0.506324,1437232.53871745,1e-04,1,0.103622436523438,11.2032997608185,"1_86_1",1,86,1,86,FALSE,TRUE,9,0.305373768710524,2,FALSE
"40",2.0727925,0.5938971,0.0605754,1.6650475,0.820933,0.0807015,1.275,0.5717456,0.214473,0.7359265,0.7353524,0.1861425,2.6359825,0.5234792,0.1108956,0.7266287,0.0615617181831158,-0.0400516548938412,-0.948382541299675,0.169004846237525,1.78689685416321,2.35665532492783,1.78689685416321,0.15127074969406,0,901901.146980297,0.627489,1437232.53871745,1e-04,1,0.107664823532104,11.3269226551056,"1_87_1",1,87,1,87,FALSE,TRUE,5,0.290992121674935,2,FALSE
"41",2.075505,0.6911516,0.0897732,1.19228,0.6915618,0.0833082,1.467305,0.6715005,0.1195548,0.57398025,0.649468,0.1789104,2.17323,0.6644319,0.151812,0.7307075,0.0657529601528974,-0.104867418516716,-0.929385018387004,0.168769608075725,1.75519440406922,2.34039020980354,1.75519440406922,0.280327764528051,0,846656.578736246,0.589047,1437232.53871745,1e-04,1,0.111915349960327,11.4557135105133,"1_88_1",1,88,1,88,FALSE,TRUE,5,0.31100030689637,2,FALSE
"42",2.0617475,0.6544737,0.1007979,1.65255,0.3946771,0.1515162,0.8709375,0.6245319,0.072267,1.7891225,0.5685494,0.1199607,2.2776525,0.6748962,0.2059365,0.7096538,0.077544210957236,0.0862650851585938,-0.898705337234446,0.165964231685969,1.94876481626343,2.36365031500076,1.94876481626343,0.0965095976120609,0,721710.328764581,0.502103,1437232.53871745,1e-04,1,0.105159044265747,11.9419920444489,"1_92_1",1,92,1,92,FALSE,TRUE,2,0.288335628980168,2,FALSE
"43",2.6102675,0.7965457,0.1809351,1.4742675,0.7942077,0.1564266,1.1359125,0.5615256,0.1217502,1.451705,0.760642,0.0897093,1.9373525,0.7761771,0.1191708,0.6261113,0.0760254732057813,-0.318402320208673,-0.832731323791562,0.160030268347517,2.68208580744194,2.42630728228653,2.68208580744194,0.133811917323687,0,657278.451723271,0.457268,1437232.53871745,1e-04,1,0.111185789108276,12.0693542957306,"1_93_1",1,93,1,93,TRUE,TRUE,8,0.310227512413148,2,FALSE
"44",0.56441625,0.8164656,0.2800617,1.5661675,0.3918316,0.2153562,0.836405,0.6799558,0.1273113,2.12186,0.8047154,0.01705638,2.733785,0.9576535,0.1969923,0.5890328,0.150304601232151,-0.925369758412779,-0.483717196039683,0.14415159867188,3.01951165882015,2.23529816150044,3.01951165882015,0.0606738851580195,0,316937.018823478,0.220441,1437232.53871745,1e-04,1,0.110686779022217,12.4356691837311,"1_96_1",1,96,1,96,TRUE,TRUE,2,0.247674185646522,2,TRUE
"45",1.4353075,0.7130966,0.1428762,1.477205,0.5697065,0.1417029,1.0359825,0.5767345,0.1858263,1.4724425,0.7248503,0.1344714,2.1063125,0.5414202,0.1670166,0.6579539,0.0800491313741988,-0.0975756236972876,-0.827797864075726,0.159055967355155,2.54050774445282,2.39178221757021,2.54050774445282,0.117459233575506,0,652191.15731653,0.453728,1437232.53871745,1e-04,1,0.105969429016113,12.5575768947601,"1_97_1",1,97,1,97,FALSE,TRUE,5,0.29832038719997,2,FALSE
"46",1.8211775,0.7201043,0.02629614,1.90292,0.6803079,0.0936057,1.4167075,0.5493904,0.1835412,1.4057525,0.6776528,0.167388,2.489105,0.7950379,0.1537389,0.7229405,0.0683567331831633,-0.00879586759697859,-0.939444553755528,0.168633418010913,1.77456473836205,2.35407140624834,1.77456473836205,0.154726535954552,0,816949.078742983,0.568375,1437232.53871745,1e-04,1,0.115570545196533,12.6893680095673,"1_98_1",1,98,1,98,FALSE,TRUE,3,0.290636206790145,2,FALSE
